Elevation,Transect,Quadrat,Species,Height
500,A,1,Roccellina2,12
500,A,1,Roccellina2,14
500,A,1,Roccellina2,10
500,A,4,Ramalina2,14
500,A,6,Ramalina2,5
500,A,additional,Roccellina2,9
500,A,additional,Roccellina2,12
500,A,additional,Roccellina2,10
500,A,additional,Roccellina2,13
500,A,additional,Roccellina2,10
500,A,additional,Ramalina2,10
500,A,additional,Ramalina2,13
500,A,additional,Ramalina2,15
500,A,additional,Ramalina2,15
500,A,additional,Calo2,4
500,A,additional,Calo2,3
500,A,additional,Calo2,3
500,A,additional,Calo2,4
500,A,additional,Calo2,3
500,A,additional,Calo2,3
500,A,additional,Calo2,4
500,A,additional,Calo2,3
500,A,additional,Calo2,3
850,A,2,Niebla1,15
850,A,2,Niebla2,15
850,A,2,Heterodermia2,23
850,A,3,Niebla4,22
850,A,3,Niebla4,17
850,A,3,Heterodermia2,30
850,A,4,Heterodermia2,22
850,A,4,Heterodermia2,20
850,A,4,Niebla4,17
850,A,4,Niebla1,17
850,A,5,Heterodermia1,5
850,A,5,Niebla3,11
850,A,5,Niebla4,14
850,A,6,Niebla4,11
850,A,6,Niebla4,11
850,A,6,Niebla4,22
850,A,6,Heterodermia2,22
850,A,6,Heterodermia2,24
850,A,6,Heterodermia1,15
850,A,7,Heterodermia2,18
850,A,7,Heterodermia2,20
850,A,7,Niebla4,26
850,A,7,Niebla4,25
850,A,8,Niebla4,17
850,A,8,Niebla4,19
850,A,8,Niebla4,20
850,A,8,Heterodermia2,29
850,A,8,Rhizoplaca,14
850,A,9,Heterodermia2,21
850,A,9,Heterodermia2,23
850,A,9,Heterodermia2,19
850,A,9,Niebla4,18
850,A,9,Niebla4,19
850,A,10,Heterodermia2,15
850,A,10,Heterodermia2,26
850,A,10,Niebla4,25
850,A,10,Niebla4,18
850,A,10,Ramalina2,20
850,A,11,Heterodermia2,11
850,A,11,Heterodermia2,18
850,A,12,Niebla4,17
850,A,12,Heterodermia2,28
850,A,12,Ramalina2,15
850,A,12,Heterodermia1,8
850,A,13,Heterodermia2,21
850,A,13,Heterodermia1,21
850,A,13,Niebla4,12
850,A,13,Heterodermia1,9
850,A,13,Ramalina2,13
850,A,13,Ramalina2,15
850,A,14,Ramalina2,30
850,A,14,Heterodermia2,34
850,A,14,Heterodermia1,11
850,A,15,Ramalina2,36
850,A,15,Heterodermia2,25
850,A,15,Heterodermia1,11
850,A,15,Heterodermia1,9
850,A,15,Niebla4,13
850,A,16,Heterodermia2,27
850,A,16,Heterodermia2,27
850,A,16,Ramalina2,19
850,A,16,Niebla4,16
850,A,17,Ramalina2,20
850,A,17,Ramalina2,16
850,A,17,Niebla4,24
850,A,18,Ramalina2,20
850,A,18,Ramalina2,27
850,A,18,Niebla4,15
850,A,18,Niebla4,17
850,A,18,Heterodermia2,18
850,A,19,Niebla4,30
850,A,19,Niebla4,25
850,A,19,Ramalina2,29
850,A,19,Ramalina2,22
850,A,20,Ramalina2,21
850,A,20,Heterodermia2,20
850,A,20,Heterodermia1,9
850,A,20,Niebla4,17
600,A,4,Niebla3,5
600,A,4,Ramalina,6
600,A,5,Ramalina,6
600,A,5,Ramalina,8
600,A,6,Niebla3,5
600,A,7,Heterodermia1,5
600,A,7,Niebla2,5
600,A,8,Heterodermia2,10
600,A,8,Ramalina,8
600,A,8,Ramalina,11
600,A,8,Ramalina,12
600,A,9,Heterodermia1,5
600,A,9,Ramalina,5
600,A,10,Calo2,3
600,A,10,Calo2,3
600,A,10,Ramalina,6
600,A,11,Calo2,6
600,A,11,Ramalina,15
600,A,11,Ramalina,15
600,A,11,Heterodermia1,7
600,A,11,Heterodermia1,10
600,A,12,Ramalina,14
600,A,12,Ramalina,27
600,A,12,Ramalina,13
600,A,14,Niebla2,7
600,A,16,Ramalina,17
600,A,16,Ramalina,15
600,A,16,Calo2,5
600,A,16,Calo2,3
600,A,18,Ramalina,6
600,A,18,Ramalina,5
600,A,18,Calo2,2
600,A,19,Calo2,4
600,A,19,Calo2,4
600,A,19,Calo2,6
600,A,19,Calo2,6
600,A,20,Niebla3,6
600,A,additional,Niebla3,9
600,A,additional,Niebla3,10
600,A,additional,Niebla3,7
600,A,additional,Heterodermia1,4
600,A,additional,Heterodermia1,9
600,A,additional,Heterodermia1,6
600,A,additional,Heterodermia2,11
550,A,1,Niebla1,10
550,A,1,Niebla1,10
550,A,2,Niebla3,3
550,A,2,Niebla3,6
550,A,3,Niebla3,10
550,A,3,Calo2,3
550,A,3,Calo2,3
550,A,5,Calo2,2
550,A,5,Calo2,2
550,A,6,Calo2,4
550,A,6,Calo2,3
550,A,7,Ramalina,33
550,A,7,Ramalina,7
550,A,7,Ramalina,8
550,A,7,Ramalina,7
550,A,7,Calo2,4
550,A,7,Calo2,3
550,A,7,Niebla3,9
550,A,7,Niebla3,10
550,A,8,Niebla2,7
550,A,8,Calo2,4
550,A,8,Calo2,3
550,A,8,Niebla3,5
550,A,8,Ramalina,6
550,A,9,Calo2,2
550,A,10,Calo2,3
550,A,11,Calo2,3
550,A,11,Calo2,2
550,A,11,Calo2,4
550,A,11,Niebla4,15
550,A,12,Heterodermia1,5
550,A,12,Heterodermia1,4
550,A,12,Heterodermia1,5
550,A,14,Ramalina,3
550,A,14,Calo2,2
550,A,14,Calo2,1
550,A,16,Calo2,3
550,A,16,Niebla3,7
550,A,17,Heterodermia1,6
550,A,18,Calo2,4
650,A,1,Heterodermia1,10
650,A,1,Heterodermia1,3
650,A,1,Ramalina,8
650,A,1,Niebla3,7
650,A,1,Niebla3,10
650,A,2,Niebla3,9
650,A,2,Ramalina,7
650,A,2,Heterodermia1,9
650,A,3,Niebla3,6
650,A,3,Heterodermia1,6
650,A,4,Calo2,3
650,A,4,Calo2,4
650,A,4,Heterodermia1,7
650,A,5,Heterodermia1,11
650,A,5,Heterodermia1,8
650,A,5,Niebla4,7
650,A,6,Niebla3,6
650,A,6,Ramalina,9
650,A,6,Heterodermia1,7
650,A,7,Calo2,4
650,A,7,Heterodermia1,6
650,A,7,Heterodermia1,4
650,A,7,Heterodermia1,9
650,A,8,Heterodermia1,7
650,A,8,Heterodermia1,10
650,A,8,Heterodermia1,9
650,A,8,Ramalina,8
650,A,9,Heterodermia1,7
650,A,9,Niebla3,10
650,A,9,Niebla3,10
650,A,10,Heterodermia1,13
650,A,10,Heterodermia1,5
650,A,10,Ramalina,9
650,A,11,Ramalina,16
650,A,11,Heterodermia1,11
650,A,12,Ramalina,12
650,A,12,Heterodermia1,8
650,A,12,Niebla3,10
650,A,12,Niebla3,10
650,A,13,Calo2,5
650,A,13,Heterodermia1,9
650,A,13,Heterodermia1,6
650,A,13,Ramalina,16
650,A,15,Calo2,6
650,A,15,Calo2,6
650,A,15,Heterodermia1,5
650,A,15,Ramalina,17
650,A,16,Ramalina,8
650,A,16,Ramalina,11
650,A,16,Calo2,6
650,A,17,Ramalina,15
650,A,17,Ramalina,14
650,A,17,Heterodermia1,10
650,A,18,Calo2,7
650,A,19,Calo2,5
700,A,1,Niebla4,9
700,A,1,Niebla4,8
700,A,1,Niebla4,13
700,A,2,Heterodermia1,6
700,A,2,Heterodermia1,6
700,A,3,Heterodermia1,15
700,A,5,Heterodermia1,8
700,A,5,Heterodermia1,8
700,A,5,Calo2,5
700,A,6,Heterodermia1,12
700,A,6,Heterodermia1,15
700,A,6,Heterodermia2,18
700,A,7,Ramalina,9
700,A,7,Heterodermia1,6
700,A,7,Heterodermia1,7
700,A,9,Ramalina,18
700,A,9,Ramalina,12
700,A,9,Heterodermia2,19
700,A,9,Niebla4,8
700,A,10,Ramalina,26
700,A,10,Ramalina,21
700,A,10,Ramalina,25
700,A,10,Heterodermia2,18
700,A,10,Heterodermia2,32
700,A,10,Heterodermia2,16
700,A,11,Calo2,3
700,A,11,Heterodermia1,6
700,A,12,Heterodermia1,9
700,A,12,Ramalina,15
700,A,13,Ramalina,10
700,A,13,Heterodermia1,8
700,A,14,Heterodermia1,8
700,A,14,Heterodermia1,6
700,A,15,Heterodermia1,12
700,A,15,Heterodermia2,18
700,A,16,Heterodermia1,7
700,A,17,Ramalina,11
700,A,17,Heterodermia1,10
700,A,17,Heterodermia1,7
700,A,17,Heterodermia2,21
700,A,18,Ramalina,18
700,A,18,Ramalina,13
700,A,18,Heterodermia1,11
700,A,19,Heterodermia1,5
700,A,19,Heterodermia1,10
700,A,19,Ramalina,11
700,A,20,Ramalina,17
700,A,20,Heterodermia2,10
750,A,2,Heterodermia1,6
750,A,2,Heterodermia1,5
750,A,3,Heterodermia2,9
750,A,3,Heterodermia2,11
750,A,4,Heterodermia1,10
750,A,4,Heterodermia1,6
750,A,4,Heterodermia1,4
750,A,4,Niebla1,7
750,A,5,Niebla1,10
750,A,5,Niebla1,7
750,A,5,Heterodermia1,4
750,A,6,Heterodermia2,12
750,A,6,Niebla1,6
750,A,7,Heterodermia1,6
750,A,7,Heterodermia1,7
750,A,8,Heterodermia1,6
750,A,8,Heterodermia1,6
750,A,8,Ramalina,8
750,A,8,Ramalina,8
750,A,9,Heterodermia2,9
750,A,9,Niebla2,9
750,A,10,Heterodermia1,3
750,A,10,Heterodermia2,6
750,A,11,Niebla2,10
750,A,11,Heterodermia1,9
750,A,12,Heterodermia1,7
750,A,14,Niebla2,6
750,A,14,Heterodermia1,10
750,A,14,Calo2,3
750,A,16,Heterodermia2,10
750,A,16,Niebla2,7
750,A,17,Heterodermia1,7
750,A,17,Heterodermia1,6
750,A,17,Ramalina,13
700,A,1b,Heterodermia1,4
700,A,1b,Heterodermia1,5
700,A,1b,Heterodermia1,6
700,A,1b,Niebla2,11
700,A,2b,Heterodermia1,6
700,A,2b,Heterodermia1,7
700,A,2b,Niebla1,14
700,A,2b,Niebla1,13
700,A,3b,Heterodermia1,8
700,A,3b,Heterodermia1,13
700,A,4b,Heterodermia1,7
700,A,4b,Heterodermia1,5
700,A,4b,Niebla2,12
700,A,4b,Heterodermia2,11
700,A,5b,Ramalina,7
700,A,5b,Ramalina,9
700,A,5b,Ramalina,8
700,A,5b,Heterodermia1,7
700,A,6b,Calo2,4
700,A,6b,Heterodermia1,6
700,A,6b,Heterodermia1,7
700,A,7b,Niebla1,7
700,A,7b,Heterodermia1,6
700,A,7b,Heterodermia1,5
700,A,7b,Niebla2,3
700,A,7b,Ramalina,6
700,A,7b,Heterodermia2,6
700,A,8b,Ramalina,11
700,A,8b,Ramalina,5
700,A,8b,Heterodermia1,12
700,A,8b,Heterodermia1,7
700,A,9b,Heterodermia1,6
700,A,9b,Ramalina,13
700,A,10b,Heterodermia1,6
700,A,10b,Ramalina,7
700,A,11b,Ramalina,20
700,A,11b,Heterodermia1,8
700,A,11b,Niebla1,13
700,A,12b,Heterodermia2,10
700,A,12b,Ramalina,11
700,A,12b,Heterodermia1,10
700,A,12b,Heterodermia1,11
700,A,13b,Calo2,3
700,A,13b,Calo2,3
700,A,13b,Ramalina,16
700,A,13b,Heterodermia2,8
700,A,13b,Heterodermia1,9
700,B,10,Follm,5
700,B,10,Follm,5
700,B,10,Follm,5
700,B,10,Follm,7
700,B,10,Follm,5
700,B,10,Follm,6
700,B,10,Follm,6
700,B,10,Follm,6
700,B,10,Niebla,10
700,B,10,Niebla,21
700,B,10,Niebla,6
700,B,10,Niebla,15
700,B,10,Niebla,26
700,B,10,Niebla,8
700,B,10,Niebla,14
700,B,10,Niebla,13
700,B,10,Niebla,19
700,B,10,Niebla,10
700,B,10,Niebla,17
700,B,10,Niebla,21
700,B,10,Niebla,13
700,B,10,HetFoll,13
700,B,10,HetFoll,9
700,B,10,HetFoll,22
700,B,10,HetFoll,13
700,B,10,HetFoll,8
700,B,10,HetFoll,7
700,B,10,HetFoll,7
700,B,10,HetFoll,10
700,B,10,HetFoll,17
700,B,10,HetFoll,19
700,B,10,HetFoll,13
700,B,10,HetLeu,20
700,B,10,HetLeu,7
700,B,10,HetLeu,40
700,B,10,HetLeu,30
700,B,10,HetLeu,10
700,B,10,HetLeu,20
700,B,10,Pentagenella,14
700,B,10,Pentagenella,23
700,B,10,Pentagenella,18
700,B,10,Pentagenella,29
700,B,10,Pentagenella,22
700,B,10,Pentagenella,37
700,B,10,Pentagenella,26
700,B,10,Pentagenella,38
700,B,10,Pentagenella,37
700,B,10,Pentagenella,26
700,B,10,Pentagenella,34
400,B,10,Follm,1
400,B,10,Follm,3
400,B,10,Follm,3
400,B,10,Follm,4
400,B,10,Follm,5
400,B,10,Follm,3
400,B,10,Follm,3
400,B,10,Follm,4
400,B,10,Follm,4
400,B,10,Follm,3
400,B,10,RocCer,11
400,B,10,RocCer,11
400,B,10,RocCer,11
400,B,10,RocCer,15
400,B,10,RocCer,13
400,B,10,RocCer,15
400,B,10,RocCer,10
400,B,10,RocCer,11
400,B,10,RocCer,15
400,B,10,RocCer,18
500,B,10,Follm,1
500,B,10,Follm,4
500,B,10,Follm,4
500,B,10,Follm,3
500,B,10,Follm,5
500,B,10,Follm,4
500,B,10,Follm,3
500,B,10,Follm,4
500,B,10,Follm,3
500,B,10,Follm,6
500,B,10,Follm,5
500,B,10,RocCer,10
500,B,10,RocCer,11
500,B,10,RocCer,13
500,B,10,RocCer,13
500,B,10,RocCer,18
500,B,10,RocCer,18
500,B,10,RocCer,21
500,B,10,RocCer,15
500,B,10,RocCer,22
500,B,10,RocCer,18
500,B,10,Pentagenella,18
500,B,10,Pentagenella,18
500,B,10,Pentagenella,19
500,B,10,Pentagenella,19
500,B,10,Pentagenella,10
500,B,10,Pentagenella,11
500,B,10,Pentagenella,15
500,B,10,Pentagenella,17
500,B,10,Pentagenella,21
500,B,10,Pentagenella,20
600,B,10,Follm,5
600,B,10,Follm,6
600,B,10,Follm,6
600,B,10,Follm,7
600,B,10,Follm,7
600,B,10,Follm,6
600,B,10,Follm,6
600,B,10,Follm,6
600,B,10,Follm,5
600,B,10,Follm,8
600,B,10,Follm,7
600,B,10,Niebla,13
600,B,10,Niebla,12
600,B,10,Niebla,7
600,B,10,Niebla,10
600,B,10,Niebla,10
600,B,10,Niebla,8
600,B,10,Niebla,11
600,B,10,Niebla,15
600,B,10,Niebla,17
600,B,10,Niebla,14
600,B,10,Niebla,10
600,B,10,Pentagenella,14
600,B,10,Pentagenella,17
600,B,10,Pentagenella,32
600,B,10,Pentagenella,25
600,B,10,Pentagenella,16
600,B,10,Pentagenella,20
600,B,10,Pentagenella,30
600,B,10,Pentagenella,34
600,B,10,Pentagenella,19
600,B,10,Pentagenella,15
600,B,10,Pentagenella,20
600,B,10,RocCer,35
600,B,10,RocCer,15
600,B,10,RocCer,23
600,B,10,RocCer,16
600,B,10,RocCer,9
600,B,10,RocCer,14
600,B,10,RocCer,12
600,B,10,RocCer,10
600,B,10,RocCer,15
600,B,10,RocCer,16
800,B,10,HetFoll,10
800,B,10,HetFoll,10
800,B,10,HetFoll,12
800,B,10,HetFoll,13
800,B,10,HetFoll,10
800,B,10,HetFoll,11
800,B,10,HetFoll,11
800,B,10,HetFoll,12
800,B,10,HetFoll,10
800,B,10,HetFoll,10
800,B,10,Pentagenella,13
800,B,10,Pentagenella,15
800,B,10,Pentagenella,11
800,B,10,Pentagenella,25
800,B,10,Pentagenella,23
800,B,10,Pentagenella,15
800,B,10,Pentagenella,17
800,B,10,Pentagenella,20
800,B,10,Pentagenella,10
800,B,10,Pentagenella,15
800,B,10,RocCer,30
800,B,10,RocCer,25
800,B,10,RocCer,13
800,B,10,RocCer,17
800,B,10,RocCer,15
800,B,10,RocCer,17
800,B,10,RocCer,21
800,B,10,RocCer,18
800,B,10,RocCer,18
800,B,10,RocCer,27
800,B,10,Niebla,16
800,B,10,Niebla,10
800,B,10,Niebla,20
800,B,10,Niebla,13
800,B,10,Niebla,10
800,B,10,Niebla,16
800,B,10,Niebla,13
800,B,10,Niebla,16
800,B,10,Niebla,15
800,B,10,Niebla,13
