Elevation,Quadrat,Photo,Sand,Plant,Rock_L,Rock_S,Soil,Total
700,1,5067,12,1,12,11,0,36
700,2,5095,2,0,18,16,0,36
700,3,5108,2,0,23,10,1,36
700,4,5118,2,0,13,21,0,36
700,5,5130,8,0,1,27,0,36
700,6,5136,10,0,14,11,1,36
700,7,5142,17,0,0,19,0,36
700,8,5147,12,0,0,23,1,36
700,9,5152,18,0,0,18,0,36
700,10,5157,20,0,4,12,0,36
300,1,5196,6,0,24,6,0,36
300,2,5208,11,0,13,12,0,36
300,3,5216,22,0,3,11,0,36
300,4,5221,26,0,7,3,0,36
300,5,5227,16,0,12,8,0,36
300,6,5235,18,0,14,4,0,36
300,7,5240,18,0,16,2,0,36
300,8,5245,14,0,14,8,0,36
300,9,5250,17,0,19,0,0,36
300,10,5256,34,0,0,2,0,36
400,1,5268,1,0,35,0,0,36
400,2,5279,20,0,15,1,0,36
400,3,5284,9,0,11,16,0,36
400,4,5289,2,0,0,34,0,36
400,5,5296,0,0,24,12,0,36
400,6,5302,5,0,31,0,0,36
400,7,5309,6,0,20,10,0,36
400,8,5317,19,0,6,11,0,36
400,9,5323,9,0,21,6,0,36
400,10,5334,1,0,31,4,0,36
500,1,5356,4,0,10,22,0,36
500,2,5366,16,0,0,20,0,36
500,3,5371,10,0,0,26,0,36
500,4,5380,20,0,0,16,0,36
500,5,5388,12,0,0,24,0,36
500,6,5393,12,0,1,23,0,36
500,7,5398,16,0,0,20,0,36
500,8,5403,23,0,1,12,0,36
500,9,5420,0,0,14,22,0,36
500,10,5431,3,0,5,28,0,36
600,1,5852,0,0,19,17,0,36
600,2,5858,8,0,14,14,0,36
600,3,5864,7,0,13,16,0,36
600,4,5875,6,7,5,18,0,36
600,5,5883,11,1,17,7,0,36
600,6,5888,10,0,7,19,0,36
600,7,5895,7,0,0,29,0,36
600,8,5901,2,0,13,21,0,36
600,9,5908,10,0,0,26,0,36
600,10,5913,10,0,2,24,0,36
800,1,5933,0,0,0,12,24,36
800,2,5938,0,0,11,7,18,36
800,3,5947,2,0,3,28,3,36
800,4,5953,0,0,3,28,5,36
800,5,5960,8,0,7,11,10,36
800,6,5965,6,0,1,23,6,36
800,7,5975,4,0,1,13,18,36
800,8,5983,3,0,0,12,21,36
800,9,5990,0,0,29,5,2,36
800,10,5996,1,0,15,18,2,36